Num:INT,intNum
13,0.69
14,0.71
15,0.72
16,0.74
17,0.75
18,0.77
19,0.78
20,0.80
21,0.81
22,0.83
23,0.85
24,0.86
25,0.88
26,0.90
27,0.92
28,0.93
29,0.95
30,0.97
31,0.99
32,1.01
33,1.03
34,1.05
35,1.07
36,1.10
37,1.12
38,1.14
39,1.16
40,1.19
41,1.21
42,1.23
43,1.26
44,1.28
45,1.31
46,1.34
47,1.36
48,1.39
49,1.42
50,1.45
51,1.47
52,1.50
53,1.53
0,non
1,0.90
2,0.91
3,0.92
4,0.93
5,0.94
6,0.95
7,0.96
8,0.97
9,0.98
10,0.99
11,1.00
12,1.01
13,1.02
14,1.03
15,1.04
16,1.05
17,1.06
18,1.07
19,1.08
20,1.09
21,1.10
22,1.11
23,1.12
24,1.13
25,1.14
26,1.15
27,1.16
28,1.17
29,1.18
30,1.19
31,1.20
32,1.21
33,1.22
34,1.23
35,1.24
36,1.25
37,1.26
38,1.27
39,1.28
40,1.29
41,1.30
42,1.31
43,1.32
44,1.33
45,1.34
46,1.35
47,1.36
48,1.37
49,1.38
50,1.39
51,1.40
52,1.41
53,1.42
54,1.43
55,1.44
56,1.45
57,1.46
58,1.47
59,1.48
60,1.49
61,1.50
62,1.51
63,1.52
64,1.53
65,1.54
66,1.55
67,1.56
68,1.57
69,1.58
70,1.59
71,1.60
72,1.61
73,1.62
74,1.63
75,1.64
76,1.65
77,1.66
78,1.67
25,1.28
26,1.30
27,1.31
28,1.32
29,1.33
30,1.35
31,1.36
32,1.37
33,1.39
34,1.40
35,1.42
36,1.43
37,1.45
38,1.46
39,1.48
40,1.49
41,1.50
42,1.52
43,1.53
44,1.55
45,1.56
Lv40,478.8
Lv41,504.8
Lv42,531
Lv43,557.4
Lv44,584
Lv45,610.8
Lv46,637.8
Lv47,665
Lv48,692.4
Lv49,720
Lv50,747.8
Lv51,775.8
Lv52,804
Lv53,832.4
Lv54,861
Lv55,889.8
Lv56,918.8
Lv57,948
Lv58,977.4
Lv59,1007
Lv60,1036.8
Lv61,1066.8
Lv62,1097
Lv63,1127.4
Lv64,1158
Lv65,1188.8
Lv66,1219.8
Lv67,1251
Lv68,1282.4
Lv69,1314
Lv70,1345.8
Lv71,1377.8
Lv72,1410
Lv73,1442.4
Lv74,1475
Lv75,1507.8
Lv76,1540.8
Lv77,1574
Lv78,1607.4
Lv79,1641
Lv80,1674.8
wit,witåWêî
10,0.61
11,0.64
12,0.68
13,0.71
14,0.75
15,0.78
16,0.82
17,0.86
18,0.91
19,0.95
20,1.00
21,1.05
22,1.10
23,1.16
24,1.22
25,1.28
26,1.34
27,1.41
28,1.48
29,1.55
30,1.63
31,1.71
